Florida Cities by Population Rank,City,Population
216,Country Walk,"16,601"
217,Opa-locka,"16,426"
218,Sarasota Springs,"16,386"
219,Three Lakes,"16,266"
220,Vero Beach,"16,261"
221,Stuart,"16,240"
222,Upper Grand Lagoon,"16,094"
223,Palmetto Estates,"15,998"
224,Pinewood,"15,975"
225,Lake Mary,"15,886"
226,Sunset,"15,875"
227,Southchase,"15,764"
228,West Lealman,"15,756"
229,New Port Richey,"15,674"
230,Tavares,"15,636"
231,Lake Wales,"15,401"
232,Englewood,"15,169"
233,World Golf Village,"15,025"
234,Callaway,"15,015"
235,West Park,"14,960"
236,Auburndale,"14,958"
237,Lady Lake,"14,859"
238,Bellair-Meadowbrook Terrace,"14,830"
239,Forest City,"14,702"
240,Azalea Park,"14,701"
241,Niceville,"14,697"
242,Zephyrhills,"14,608"
243,South Venice,"14,535"
244,Gonzalez,"14,490"
245,Miami Springs,"14,453"
246,Iona,"14,349"
247,Olympia Heights and Longwood,"14,345"
248,Hobe Sound,"14,301"
249,Oldsmar,"14,211"
250,Lockhart,"14,027"
251,Conway,"14,023"
252,St. Augustine,"13,952"
253,Thonotosassa,"13,743"
254,East Milton,"13,583"
255,Warrington,"13,569"
256,Fruitville,"13,541"
257,Gladeview,"13,539"
258,Jensen Beach,"13,438"
259,Destin,"13,421"
260,Palmetto,"13,363"
261,Mount Dora,"13,350"
262,Middleburg,"13,316"
263,Elfers,"13,291"
264,Atlantic Beach,"13,224"
265,Homosassa Springs,"13,217"
266,Key Biscayne,"13,074"
267,North Palm Beach,"12,749"
268,Goldenrod,"12,634"
269,South Daytona,"12,597"
270,Cypress Lake,"12,505"
271,Hudson,"12,477"
272,Panama City Beach,"12,461"
273,Wilton Manors,"12,407"
274,Lakeland Highlands,"12,345"
275,Westwood Lakes,"12,273"
276,Pine Castle,"12,270"
277,South Miami,"12,255"
278,Yulee,"12,244"
279,Gulfport,"12,222"
280,Florida City,"12,149"
281,Lakewood Park,"12,090"
282,Lake City,"12,033"
283,Fernandina Beach,"11,957"
284,Holly Hill,"11,922"
285,Shady Hills,"11,850"
286,Mango,"11,836"
287,Jupiter Farms,"11,787"
288,Goulds,"11,768"
289,Nocatee,"11,634"
290,Cocoa Beach and Port St. John,"11,489"
291,Westview,"11,480"
292,Groveland,"11,461"
293,Doctor Phillips,"11,416"
294,Orange City,"11,348"
295,Villas,"11,242"
296,Lantana,"11,240"
297,Richmond Heights,"11,155"
298,Fairview Shores,"11,096"
299,Lighthouse Point,"11,042"
300,Viera East,"10,975"
301,Cheval,"10,821"
302,Naranja,"10,776"
303,Port Salerno,"10,760"
304,Miami Shores,"10,756"
305,Union Park,"10,707"
306,Gulf Gate Estates,"10,650"
307,West Perrine and Minneola,"10,634"
308,Satellite Beach,"10,585"
309,Trinity,"10,529"
310,Sebring,"10,469"
311,Gateway,"10,388"
312,Highland City,"10,386"
313,Palatka,"10,291"
314,Cape Canaveral,"10,169"
315,Avon Park,"10,152"
316,Key Largo,"10,071"
317,Pine Ridge,"9,811"
318,Bee Ridge,"9,772"
319,New Port Richey East,"9,753"
320,Fuller Heights,"9,719"
321,Gifford,"9,683"
322,Alachua,"9,676"
323,Milton,"9,564"
324,St. Pete Beach,"9,529"
325,Bardmoor,"9,494"
326,Springfield,"9,375"
327,Medulla,"9,335"
328,Westgate,"9,300"
329,Laurel,"9,283"
330,Viera West,"9,228"
331,Beverly Hills,"9,144"
332,St. Augustine Shores,"9,099"
333,Citrus Springs,"9,011"
334,Cypress Gardens,"9,006"
335,Rotonda,"8,981"
336,Pasadena Hills,"8,932"
337,Memphis,"8,926"
338,Bithlo,"8,904"
339,Micco,"8,859"
340,Marathon,"8,748"
341,Asbury Lake,"8,736"
342,North Sarasota,"8,728"
343,Palm Beach,"8,593"
344,Orange Park,"8,558"
345,Miramar Beach,"8,555"
346,Celebration,"8,536"
347,Lake Park,"8,527"
348,Silver Springs Shores,"8,508"
349,Fern Park,"8,469"
350,Sugarmill Woods,"8,465"
351,Progress Village,"8,425"
352,Indian Harbour Beach,"8,395"
353,Pebble Creek,"8,311"
354,Williamsburg,"8,259"
355,Hernando,"8,254"
356,Seffner,"8,239"
357,West Vero Corridor,"8,135"
358,North Weeki Wachee,"8,104"
359,North Bay Village,"8,076"
360,Odessa,"7,983"
361,Broadview Park,"7,963"
362,Brooksville,"7,905"
363,Venice Gardens,"7,904"
364,Southwest Ranches,"7,820"
365,Arcadia,"7,774"
366,Citrus Hills,"7,735"
367,McGregor,"7,732"
368,Inwood,"7,708"
369,Ormond-by-the-Sea,"7,692"
370,Southeast Arcadia,"7,653"
371,Quincy,"7,599"
372,Fort Pierce North,"7,597"
373,Southgate,"7,539"
374,Wedgefield,"7,516"
375,Clewiston,"7,430"
376,Marianna,"7,360"
377,Green Cove Springs,"7,345"
378,Longboat Key,"7,179"
379,Inverness,"7,164"
380,Wimauma,"7,140"
381,Sanibel,"7,128"
382,Lake Lorraine,"7,081"
383,West Miami,"7,046"
384,West Samoset,"7,034"
385,Neptune Beach,"7,030"
386,Perry,"6,948"
387,Fort Myers Beach,"6,877"
388,Live Oak,"6,854"
389,Treasure Island,"6,844"
390,Dade City,"6,841"
391,Beacon Square,"6,837"
392,St. Augustine Beach,"6,783"
393,Osprey,"6,734"
394,Belle Isle,"6,686"
395,South Patrick Shores,"6,669"
396,Indian River Estates,"6,585"
397,Fort Myers Shores,"6,496"
398,Pembroke Park,"6,491"
399,"Islamorada, Village of Islands","6,488"
400,Kathleen,"6,479"
401,Lauderdale-by-the-Sea,"6,441"
